排行,书名,作者,类型,简介,最新章节,书的地址链接,图片链接
11,黎明之剑,远瞳,科幻,高文穿越了，但穿越的时候稍微出了点问题。在某个异界大陆上空飘了十几万年之后，他觉得自己可能需要一具身体才算是成为一个完整的穿越者，但他并没想到自己好不容易成功之后竟然还需要带着这具身体从棺材里爬出来，并且面对两个吓蒙了的曾曾曾曾……曾孙女。以及一个即将迎来纪元终结的世界。,最新更新 第一千零三十八章 象征和仪式的力量？,https://bookcover.yuewen.com/qdbimg/349573/1010400217/150,https://book.qidian.com/info/1010400217
12,绍宋,榴弹怕水,历史,绍者，一曰继；二曰导。公元1127年，北宋灭亡。旋即，皇九子赵构在万众期待中于商丘登基，继承宋统，改元建炎。然而，三个月内，李纲罢相，陈东被杀，岳飞被驱逐出军，宗泽被遗弃东京，河北抗金布置被全面裁撤……经过这么多努力之后，满朝文武终于统一了思想，定下了拥护赵官家南下淮甸转扬州的辉煌抗金路线。不过刚一启程，在亳州明道宫参拜了道祖之后，这位赵官家便一头栽入了闻名天下的九龙井中，起来后就不认得自己心腹是谁了！朕要抗金！可朕的心腹都在何处？！这是一个来自于九百年后灵魂的真诚呐喊，他在无可奈何继承了大宋的名号后，更要将这个朝廷与天下导向一条新路。故称绍宋。,最新更新 第四十二章 前后,https://bookcover.yuewen.com/qdbimg/349573/1017281778/150,https://book.qidian.com/info/1017281778
13,魔临,纯洁滴小龙,悬疑,这个世界一直流传着一个传说：终有一日，魔王会降临于这个世界，魔王的麾下，有七尊恐怖的魔头，他们，将带给这个世界绝望的黑暗。《魔临》舵主群：893、107、381（需要验证）《魔临》樊力群：113、552、0983（无需验证）,最新更新 第三百六十八章 大胜！,https://bookcover.yuewen.com/qdbimg/349573/1016560323/150,https://book.qidian.com/info/1016560323
14,当医生开了外挂,手握寸关尺,都市,"你是一名月入2000的小（穷）医生，饱受生活的压力和摧残！可是，某天一觉醒来，发现自己开了外挂……你要做一台阑尾手术，于是开腹探查：你触摸盲肠：【盲肠：健康！】你触摸结肠：【结肠：健康！】你触摸阑尾：【阑尾：这是一个炎性化脓的阑尾怪，lv15，稀有怪，建议：行阑尾切除术！】你手起刀落，圆满切下阑尾。【叮！击杀稀有阑尾怪，获得：阑尾切除术经验+100，人民币+100，白色缝合针一个！】……你是一名急诊外科医生，你一觉醒来……救人就变强！普2群：107,798,4631。全订V群：818，843，247（需全订）舵主群：群号：902，053，154。（舵主及以上）老手好酒好肉期待大家到来！",最新更新 第1769章：真相，大白。,https://bookcover.yuewen.com/qdbimg/349573/1016313375/150,https://book.qidian.com/info/1016313375
15,明天下,孑与2,历史,明末的历史纷乱混杂，堪称是一段由一些有着强大个人魅力的人书写成的历史。不论是李自成，还是张献忠这些叛逆者，还是崇祯，袁崇焕，这些当权者，亦或是吴三桂，耿精忠这些背叛者，每个人身上都有很多的故事，就是因为有了这些精彩的故事，明末的历史才变得大气起磅礴，波澜起伏。想要把这一段历史写好，自然要描绘出一个个活生生的人物，不论他的立场如何，我们站在历史长河的边缘上旁观，他们不过是这条长河里的一朵浪花。冷眼看世界，就是我们目前需要做的事情，冷眼看历史也是我们目前生活的一种追求。历史长河已经流淌到了我们的脚下，我们大可站在河边，准备迎接我们的历史。,最新更新 第一七五章稳定就是胜利，其余不足论,https://bookcover.yuewen.com/qdbimg/349573/1015609210/150,https://book.qidian.com/info/1015609210
16,大梦主,忘语,仙侠,一个从小体弱多病的富商之子，在寻求续命之法时，意外走上了修仙登天之路！大唐盛世，天下安泰，风调雨顺，百姓安居。千年后世，魔物吞天，妖鬼横行，遍野哀鸣。西游再现，大圣斗天，天蓬下凡，卷帘重生。莫名的穿梭与轮回，虚实掩映，真幻交织！是预言中的梦境？还是尚未发生的现实？他能否打破命中注定的魔障，消弭还未发生的三界大劫，挽救苍生于水火？,最新更新 第三百零一章 虫灾,https://bookcover.yuewen.com/qdbimg/349573/1016534035/150,https://book.qidian.com/info/1016534035
17,超神机械师,齐佩甲,游戏,韩萧，《星海》骨灰级代练，被来自东（zuo）方(zhe)的神秘力量扔进穿越大军，携带玩家面板变成NPC，回到《星海》公测之前，毅然选择难度最高的机械系。战舰列队纵横星海，星辰机甲夭矫如龙，幽能炮毁天灭地，还有无边无际的机械大军，静静待在随身仓库里一人，即是军团！如果不是玩家出现，本书就是正经严肃的穿越异界题材……作为NPC，正常NPC对玩家功能一应俱全……发布任务？好感度调节？传授技能？哎等等，这群玩家我怎么都认识得，现实世界也回到了十年前。二群：157302881三群：884339155V群：547599250（需1w粉丝值由管理审核）,最新更新 1381 海拉潜修，经验完满,https://bookcover.yuewen.com/qdbimg/349573/1009480992/150,https://book.qidian.com/info/1009480992
18,御九天,骷髅精灵,仙侠,王峰创造了一款游戏“御九天”，在即将功成名就，走向人生巅峰的时候，穿越到了“九天世界”。可是穿越必备的辅助系统呢？不是高富帅也就罢了，毕竟王家兄弟是个有才华的人，可，地牢小皮鞭开局是什么鬼？无外挂，不穿越，面对来自灵魂的拷问，三观奇正的老王开始了人生的第二次奋斗。兄弟们，老王又回来了！,最新更新 第三百零七章 血妖曼库,https://bookcover.yuewen.com/qdbimg/349573/1017258335/150,https://book.qidian.com/info/1017258335
19,亏成首富从游戏开始,青衫取醉,游戏,近日，特约记者对腾达集团总裁裴谦做了专访。腾达集团目前估值已达千亿级别，业务涉及游戏、互联网、数码硬件、文化传媒、餐饮等多个领域，深刻地改变了人们生活的方方面面。而裴谦，也被视为“绝世好老板”、“不世出的投资奇才”、“天才游戏制作人”，拥有“无为而治的管理才能”和“对行业风向的精确洞察力”。面对记者，裴谦大吐苦水。“我真不是什么商业奇才啊！”“我的成功，完完全全都是运气使然！”“我最初的目标，只是想亏光五万块而已……”看，商业天才的人生就是这么的谦虚而又低调。书友群：1064135703（新群）893157567（已满）,最新更新 第959章 人工智能与游戏,https://bookcover.yuewen.com/qdbimg/349573/1016150754/150,https://book.qidian.com/info/1016150754
20,精灵掌门人,轻泉流响,轻小说,为什么考试会有精灵对战，为什么出门会被精灵袭击，谁告诉我地球发生了什么……不要碰我！我不要吃药，我没疯！接受了设定后……方缘立志成为一名优秀的训练家。“真香。”————————进入V群需全订验证，先加验证群273081875，找管理员验证后进v群。,最新更新 第881章 冥王龙的专属道具？,https://bookcover.yuewen.com/qdbimg/349573/1015792398/150,https://book.qidian.com/info/1015792398
